"Region: PAC"
"Geographic Zones: All"
"Survey Types: Fish Only, Invertebrates Only, Fish &amp; Invertebrates"
"Dates: 1/1/93 - 1/4/21"
"Total Surveys: 42294"
"#Species Reported: 466"
"Average Species Reported on a Survey by Expert Surveyors: 23.37"
"Average Species Reported on a Survey by Novice Surveyors: 15.76"
"Survey Type: FO = Fish Only; IO = Invertebrates Only; FI = Fish &amp; Invertebrates - <a href="/interpreting-reef-data" target="_blank">How to interpret REEF data?</a>"
"Expand all"
"Collapse all"
"Click a column header to sort by that column. Hold shift and click to sort by multiple columns"
,,Surveys,,,,,,"Bottom Time"
,,Expert,,,Novice,,,
Code,Name,FO,IO,FI,FO,IO,FI,(H:M)
1,"BRITISH COLUMBIA",56,6,3669,746,55,2643,5819:18
11,"QUEEN CHARLOTTE STRAIT",11,0,426,55,5,347,669:57
111,"north of Cape Mudge - Chatham Point (Discovery Passage)",0,0,94,17,0,55,137:27
1113,"Cortes Island and Marina Island (incl. Twin Islands)",0,0,1,0,0,0,1:05
11130001,"Manson Landing Provincial Park",0,0,1,0,0,0,1:05
1114,"Redonda Island and East Redonda Island",0,0,0,0,0,5,4:19
11140001,"Redonda Isle - Christy Island",0,0,0,0,0,5,4:19
1116,"Quadra Island and Maurelle Island",0,0,86,17,0,50,125:00
111601,"Lower Quadra Island",0,0,86,17,0,50,125:00
11160101,"Grouse Island",0,0,8,1,0,4,11:24
11160102,"HMCS Columbia",0,0,7,3,0,7,11:11
11160103,"Steep Island",0,0,10,4,0,5,14:14
11160104,"Copper Cliffs",0,0,13,4,0,8,20:21
11160105,"Kathy's Chase (Maud Island)",0,0,0,2,0,0,1:20
11160106,"Whisky Point",0,0,2,1,0,2,4:02
11160107,"Row and Be Damned",0,0,15,2,0,7,20:17
11160108,"Middle of the Road",0,0,8,0,0,3,9:19
11160109,"April Point Wall",0,0,9,0,0,3,10:34
11160110,"Q. (Quathiaski) Cove",0,0,3,0,0,4,6:29
11160111,"May Island Ferry (Quadra Island)",0,0,1,0,0,0,0:52
11160113,"Rebecca Spit Park Drew Harbour",0,0,0,0,0,2,1:38
11160114,"Rebecca Spit Park Sutil Channel",0,0,0,0,0,2,1:40
11160115,"Lone Tree",0,0,1,0,0,2,2:35
11160116,"Lone Tree Bay",0,0,0,0,0,1,0:33
11160117,"End of the Road",0,0,6,0,0,0,5:54
11160118,"The Expanse",0,0,1,0,0,0,0:48
11160119,"The Gully / Richmond Reef (Quadra Island)",0,0,2,0,0,0,1:49
1119,"North of Cape Mudge to Chatham Point - mainland",0,0,7,0,0,0,7:03
11190001,"Argonaut Wharf (Campbell River)",0,0,6,0,0,0,6:02
11190002,"Seymour Narrows",0,0,1,0,0,0,1:01
112,"North of Chatham Point - Telegraph Cove (Johnstone Strait)",0,0,30,1,0,18,37:16
112010,"Telegraph Cove",0,0,29,1,0,18,36:26
11201001,"Marg's Wall",0,0,8,1,0,7,12:07
11201003,"Plumper Rock/Wall",0,0,9,0,0,6,10:49
11201004,"Blah Pass",0,0,0,0,0,2,1:34
11201005,"Bob's Spot",0,0,8,0,0,1,7:41
11201006,"Plumper Pass",0,0,1,0,0,1,1:17
11201007,"Telegraph Cove (near marina)",0,0,2,0,0,1,2:10
11201008,"Gumboot Alley",0,0,1,0,0,0,0:48
