"Region: PAC"
"Geographic Zones: Southern Channel Islands"
"Survey Types: Fish Only, Invertebrates Only, Fish &amp; Invertebrates"
"Dates: 1/1/93 - 1/4/21"
"Total Surveys: 1926"
"#Species Reported: 210"
"Average Species Reported on a Survey by Expert Surveyors: 22.37"
"Average Species Reported on a Survey by Novice Surveyors: 15.10"
"Survey Type: FO = Fish Only; IO = Invertebrates Only; FI = Fish &amp; Invertebrates - <a href="/interpreting-reef-data" target="_blank">How to interpret REEF data?</a>"
"Expand all"
"Collapse all"
"Click a column header to sort by that column. Hold shift and click to sort by multiple columns"
,,Surveys,,,,,,"Bottom Time"
,,Expert,,,Novice,,,
Code,Name,FO,IO,FI,FO,IO,FI,(H:M)
4,CALIFORNIA,135,0,404,854,14,519,1470:59
42,"SOUTHERN CALIFORNIA",135,0,404,854,14,519,1470:59
4203,"Southern Channel Islands",135,0,404,854,14,519,1470:59
420301,"Santa Barbara",80,0,52,303,0,42,339:51
42030102,"Landing Cove North Buoy",8,0,4,18,0,2,21:53
42030103,"Landing Cove South Buoy",6,0,1,30,0,2,29:19
42030104,"South East Side SBI",9,0,1,59,0,2,43:04
42030105,"Sutil Island",17,0,9,58,0,3,63:34
42030106,"Elephant Seal Cove / East Elephant Seal",5,0,1,37,0,1,32:33
42030107,"Sea Lion Rookery",11,0,7,33,0,5,42:17
42030108,"Cat Canyon",9,0,3,24,0,3,32:23
42030109,"Hidden Reef",7,0,1,22,0,1,19:47
42030110,"Arch Reef / Santa Barbara Arch",6,0,7,18,0,2,23:03
42030111,"Shearwater Point",2,0,0,3,0,0,2:53
42030112,"Ray Ridge",0,0,1,0,0,0,0:46
42030113,"Cat Plateau, SE SBI",0,0,5,0,0,2,4:48
42030114,"Maytag Point SE Sutil Island",0,0,5,0,0,6,8:32
42030115,"Graveyard Caynon",0,0,4,0,0,2,4:18
42030116,Deckers,0,0,1,0,0,0,1:04
42030117,"Southeast Reef",0,0,1,1,0,2,3:03
42030118,"Arch Point",0,0,0,0,0,2,1:24
42030119,"Shag Rock",0,0,0,0,0,1,0:19
42030120,"Reserve Reef",0,0,1,0,0,2,2:04
42030121,"Webster Point (Santa Barbara)",0,0,0,0,0,1,0:45
42030122,"Kelp Skyline",0,0,0,0,0,1,0:44
420302,"Catalina Island",42,0,281,465,13,412,942:54
42030200,"Catalina Island General Area - no site specified",0,0,0,8,0,9,14:56
42030201,"Casino Point",4,0,33,82,0,95,153:04
42030202,"U/W Snorkel Park (Lover's Cove - Avalon)",0,0,1,4,0,2,5:05
42030203,"Toyon Bay",1,0,0,24,0,0,14:42
42030204,"Farnsworth Banks",6,0,20,7,0,22,33:00
42030205,"Hen Rock",1,0,29,12,1,27,61:00
42030206,"Pirates Cove",0,0,10,5,0,18,30:57
42030207,"Torqua Springs",1,0,13,3,2,12,27:09
42030208,"Long Point, Catalina",0,0,4,16,0,7,19:22
42030209,"Guano Rock / Bird Rock",4,0,12,21,2,11,38:59
42030210,"Big Fishermans Cove",5,0,0,53,0,11,50:43
42030211,"Hamilton Cove",0,0,0,1,1,0,4:20
42030212,"Two Harbors (Isthmus Cove)",2,0,7,21,2,12,39:10
42030213,"Land's End",0,0,0,1,0,1,1:18
42030214,"Parson's Landing",0,0,5,3,0,2,7:09
42030215,"Middle Quarry",0,0,0,6,0,2,5:21
42030216,"Lion's Head",0,0,5,3,0,10,16:00
42030217,"Campus by the Sea",0,0,0,1,0,0,0:30
42030218,"Ship Rock",2,0,9,18,1,14,36:12
42030219,"Gallagher's Cove",0,0,0,1,0,0,1:10
42030220,"Italian Gardens",2,0,1,8,0,5,11:04
42030221,"Yellowtail Point",0,0,3,7,0,4,11:30
42030222,"Eagle Reef",1,0,13,18,0,9,34:15
42030223,"Blue Caverns",1,0,2,8,0,1,8:51
42030224,"Black Point",0,0,0,1,0,3,2:31
42030225,"Indian Rocks",0,0,6,9,0,11,19:37
42030226,"Red Bluffs",0,0,0,1,0,2,3:02
42030227,"Doctor's Cove",0,0,0,4,0,4,6:05
42030228,"USC Preserve -Cataline Island",0,0,0,10,0,0,6:36
42030229,"Sea Fan Grotto",0,0,3,7,2,12,17:29
42030230,"Eel Rock / Eel Cove",0,0,2,12,0,5,15:05
42030231,"Little Geiger",0,0,0,6,1,3,7:31
42030232,"Little Gibraltar Point",0,0,1,2,0,1,2:28
42030233,"Twin Rocks",1,0,2,14,0,3,15:22
42030234,"Please use 42030235 (was West Quarry)",0,0,0,2,0,0,1:43
42030235,"West Quarry",0,0,1,7,0,1,6:32
42030236,"Howlands Landing (near two harbors)",0,0,0,2,0,4,4:46
42030237,"Goat Harbor",1,0,13,4,1,8,22:42
42030238,"Rippers Cove",1,0,5,1,0,3,8:32
42030239,"Empire Landing (Catalina Island)",0,0,0,1,0,5,3:52
42030240,"Blue Car",0,0,8,1,0,9,15:21
42030241,"Africa West",0,0,3,1,0,5,6:22
